Participant,Practice,Block,Trial,VV,ObjectsCount,MeasuredTime
5,true,0,0,VV2,16,1685
5,true,0,1,VV1VV2,16,29429
5,true,0,2,VV1,16,1822
5,false,1,0,VV2,16,3057
5,false,1,1,VV2,16,835
5,false,1,2,VV1,16,994
5,false,1,3,VV1,16,1053
5,false,1,4,VV1VV2,16,35659
5,false,1,5,VV1VV2,16,6269
5,false,1,6,VV1VV2,16,2125
5,false,1,7,VV2,16,1424
5,false,1,8,VV2,16,799
5,false,1,9,VV1,16,894
5,false,1,10,VV1,16,745
5,false,1,11,VV2,16,867
5,false,1,12,VV1VV2,16,1790
5,false,1,13,VV1,16,1077
5,false,1,14,VV1VV2,16,3341
5,true,0,0,VV1,36,1345
5,true,0,1,VV2,36,614
5,true,0,2,VV1VV2,36,4401
5,false,2,0,VV1,36,1081
5,false,2,1,VV2,36,654
5,false,2,2,VV1VV2,36,2544
5,false,2,3,VV1,36,818
5,false,2,4,VV1VV2,36,1648
5,false,2,5,VV2,36,1203
5,false,2,6,VV2,36,840
5,false,2,7,VV1,36,874
5,false,2,8,VV1,36,710
5,false,2,9,VV1VV2,36,1697
5,false,2,10,VV1VV2,36,1407
5,false,2,11,VV1VV2,36,1399
5,false,2,12,VV2,36,678
5,false,2,13,VV2,36,684
5,false,2,14,VV1,36,729
5,true,0,0,VV1VV2,9,6382
5,true,0,1,VV2,9,1056
5,true,0,2,VV1,9,917
5,false,3,0,VV1VV2,9,3248
5,false,3,1,VV1,9,2276
5,false,3,2,VV1VV2,9,8808
5,false,3,3,VV2,9,824
5,false,3,4,VV2,9,679
5,false,3,5,VV1,9,694
5,false,3,6,VV1,9,725
5,false,3,7,VV1VV2,9,3758
5,false,3,8,VV1VV2,9,7702
5,false,3,9,VV1VV2,9,4133
5,false,3,10,VV2,9,1010
5,false,3,11,VV2,9,912
5,false,3,12,VV1,9,863
5,false,3,13,VV1,9,821
5,false,3,14,VV2,9,615
