Participant,Practice,Block,Trial,VV,ObjectsCount,MeasuredTime
4,true,0,0,VV1,36,1591
4,true,0,1,VV2,36,1090
4,true,0,2,VV1VV2,36,5218
4,false,1,0,VV1,36,1156
4,false,1,1,VV1VV2,36,4186
4,false,1,2,VV1VV2,36,25896
4,false,1,3,VV1VV2,36,4118
4,false,1,4,VV2,36,1138
4,false,1,5,VV2,36,993
4,false,1,6,VV1,36,931
4,false,1,7,VV1,36,905
4,false,1,8,VV2,36,1362
4,false,1,9,VV1VV2,36,1957
4,false,1,10,VV1,36,866
4,false,1,11,VV1VV2,36,3838
4,false,1,12,VV2,36,799
4,false,1,13,VV2,36,1058
4,false,1,14,VV1,36,908
4,true,0,0,VV2,9,1077
4,true,0,1,VV1,9,1286
4,true,0,2,VV1VV2,9,788
4,false,2,0,VV2,9,800
4,false,2,1,VV1,9,1063
4,false,2,2,VV1,9,958
4,false,2,3,VV2,9,756
4,false,2,4,VV1VV2,9,780
4,false,2,5,VV1,9,575
4,false,2,6,VV1VV2,9,1162
4,false,2,7,VV2,9,1048
4,false,2,8,VV2,9,691
4,false,2,9,VV1,9,548
4,false,2,10,VV1,9,539
4,false,2,11,VV1VV2,9,707
4,false,2,12,VV1VV2,9,652
4,false,2,13,VV1VV2,9,1365
4,false,2,14,VV2,9,1179
4,true,0,0,VV1,16,1408
4,true,0,1,VV2,16,1073
4,true,0,2,VV1VV2,16,2511
4,false,3,0,VV2,16,898
4,false,3,1,VV1VV2,16,1817
4,false,3,2,VV1,16,956
4,false,3,3,VV1VV2,16,4931
4,false,3,4,VV2,16,805
4,false,3,5,VV2,16,855
4,false,3,6,VV1,16,1439
4,false,3,7,VV1,16,911
4,false,3,8,VV1VV2,16,3263
4,false,3,9,VV1VV2,16,2608
4,false,3,10,VV1VV2,16,3256
4,false,3,11,VV2,16,857
4,false,3,12,VV2,16,859
4,false,3,13,VV1,16,855
4,false,3,14,VV1,16,2482
