Participant,Practice,Block,Trial,VV,ObjectsCount,MeasuredTime
3,true,0,0,VV1,9,2133
3,true,0,1,VV1VV2,9,3742
3,true,0,2,VV2,9,1216
3,false,1,0,VV2,9,1441
3,false,1,1,VV2,9,760
3,false,1,2,VV1,9,627
3,false,1,3,VV1,9,847
3,false,1,4,VV2,9,696
3,false,1,5,VV1VV2,9,661
3,false,1,6,VV1,9,825
3,false,1,7,VV1VV2,9,2031
3,false,1,8,VV2,9,792
3,false,1,9,VV2,9,653
3,false,1,10,VV1,9,1045
3,false,1,11,VV1,9,1042
3,false,1,12,VV1VV2,9,8548
3,false,1,13,VV1VV2,9,1347
3,false,1,14,VV1VV2,9,2678
3,true,0,0,VV1VV2,16,5953
3,true,0,1,VV2,16,855
3,true,0,2,VV1,16,947
3,false,2,0,VV1,16,1208
3,false,2,1,VV1,16,1091
3,false,2,2,VV2,16,705
3,false,2,3,VV1VV2,16,1253
3,false,2,4,VV1,16,2076
3,false,2,5,VV1VV2,16,2560
3,false,2,6,VV2,16,739
3,false,2,7,VV2,16,684
3,false,2,8,VV1,16,822
3,false,2,9,VV1,16,696
3,false,2,10,VV1VV2,16,1696
3,false,2,11,VV1VV2,16,2994
3,false,2,12,VV1VV2,16,880
3,false,2,13,VV2,16,1209
3,false,2,14,VV2,16,769
3,true,0,0,VV1,36,967
3,true,0,1,VV2,36,797
3,true,0,2,VV1VV2,36,1405
3,false,3,0,VV1,36,448
3,false,3,1,VV1VV2,36,2845
3,false,3,2,VV2,36,684
3,false,3,3,VV2,36,650
3,false,3,4,VV1,36,945
3,false,3,5,VV1,36,645
3,false,3,6,VV1VV2,36,1583
3,false,3,7,VV1VV2,36,4200
3,false,3,8,VV1VV2,36,6082
3,false,3,9,VV2,36,865
3,false,3,10,VV2,36,1038
3,false,3,11,VV1,36,852
3,false,3,12,VV1,36,832
3,false,3,13,VV2,36,803
3,false,3,14,VV1VV2,36,1661
