Participant,Practice,Block,Trial,VV,ObjectsCount,MeasuredTime
1,true,0,0,VV1,36,1172
1,true,0,1,VV2,36,1010
1,true,0,2,VV1VV2,36,6313
1,false,1,0,VV1VV2,36,7458
1,false,1,1,VV1VV2,36,4733
1,false,1,2,VV1VV2,36,4091
1,false,1,3,VV2,36,896
1,false,1,4,VV2,36,896
1,false,1,5,VV1,36,760
1,false,1,6,VV1,36,825
1,false,1,7,VV2,36,687
1,false,1,8,VV1VV2,36,1463
1,false,1,9,VV1,36,751
1,false,1,10,VV1VV2,36,5897
1,false,1,11,VV2,36,774
1,false,1,12,VV2,36,770
1,false,1,13,VV1,36,833
1,false,1,14,VV1,36,710
1,true,0,0,VV1VV2,9,2010
1,true,0,1,VV1,9,769
1,true,0,2,VV2,9,833
1,false,2,0,VV1VV2,9,3443
1,false,2,1,VV2,9,778
1,false,2,2,VV2,9,735
1,false,2,3,VV1,9,714
1,false,2,4,VV1,9,805
1,false,2,5,VV1VV2,9,4415
1,false,2,6,VV1VV2,9,2003
1,false,2,7,VV1VV2,9,4718
1,false,2,8,VV2,9,790
1,false,2,9,VV2,9,862
1,false,2,10,VV1,9,1171
1,false,2,11,VV1,9,829
1,false,2,12,VV2,9,729
1,false,2,13,VV1VV2,9,2138
1,false,2,14,VV1,9,1037
1,true,0,0,VV1VV2,16,1929
1,true,0,1,VV1,16,860
1,true,0,2,VV2,16,712
1,false,3,0,VV1,16,1163
1,false,3,1,VV1,16,704
1,false,3,2,VV1VV2,16,1728
1,false,3,3,VV1VV2,16,2671
1,false,3,4,VV1VV2,16,7906
1,false,3,5,VV2,16,1063
1,false,3,6,VV2,16,922
1,false,3,7,VV1,16,1210
1,false,3,8,VV1,16,668
1,false,3,9,VV2,16,669
1,false,3,10,VV1VV2,16,1112
1,false,3,11,VV1,16,754
1,false,3,12,VV1VV2,16,3114
1,false,3,13,VV2,16,834
1,false,3,14,VV2,16,794
